method,effect,std_err,CI95_lower,CI95_upper,effect_1,effect_0,effect_1_CI95_upper,effect_1_CI95_lower,effect_0_CI95_upper,effect_0_CI95_lower,effect_1_std_err,effect_0_std_err,outcome,run_id
IPW,0.012500,0.002100,0.008384,0.016616,0.045000,0.032500,0.048900,0.041100,0.033500,0.031500,0.001950,0.000500,A01AA,test_run_01
TMLE,0.011800,0.002200,0.007488,0.016112,0.142000,0.130200,0.146200,0.137800,0.130700,0.129700,0.002100,0.000250,A01AA,test_run_01
RD,0.013200,0.001900,0.009476,0.016924,0.044800,0.031600,,,,,,,A01AA,test_run_01
RR,1.417722,0.048000,1.322652,1.518413,0.044800,0.031600,,,,,,,A01AA,test_run_01
IPW,0.013000,0.002300,0.008492,0.017508,0.046000,0.033000,0.050500,0.041500,0.034000,0.032000,0.002250,0.000500,A01AA,test_run_02
TMLE,0.012500,0.002400,0.007796,0.017204,0.143000,0.130500,0.147600,0.138400,0.131000,0.130000,0.002300,0.000250,A01AA,test_run_02
RD,0.013800,0.002000,0.009880,0.017720,0.045500,0.031700,,,,,,,A01AA,test_run_02
RR,1.435331,0.050000,1.336478,1.540229,0.045500,0.031700,,,,,,,A01AA,test_run_02
IPW,0.003200,0.001300,0.000652,0.005748,0.015000,0.011800,0.017500,0.012500,0.012500,0.011100,0.001250,0.000350,A01AB,test_run_01
TMLE,0.002800,0.001450,-0.000042,0.005642,0.088000,0.085200,0.091000,0.085000,0.085700,0.084700,0.001500,0.000250,A01AB,test_run_01
RD,0.003800,0.001200,0.001448,0.006152,0.014500,0.010700,,,,,,,A01AB,test_run_01
RR,1.355140,0.090000,1.178755,1.557527,0.014500,0.010700,,,,,,,A01AB,test_run_01
IPW,0.003600,0.001400,0.000856,0.006344,0.016000,0.012400,0.018700,0.013300,0.013100,0.011700,0.001350,0.000350,A01AB,test_run_02
TMLE,0.003200,0.001550,0.000162,0.006238,0.089000,0.085800,0.092200,0.085800,0.086300,0.085300,0.001600,0.000250,A01AB,test_run_02
RD,0.004100,0.001250,0.001650,0.006550,0.015200,0.011100,,,,,,,A01AB,test_run_02
RR,1.369369,0.095000,1.183528,1.584180,0.015200,0.011100,,,,,,,A01AB,test_run_02
IPW,0.002000,0.000850,0.000334,0.003666,0.005500,0.003500,0.007200,0.003800,0.004000,0.003000,0.000850,0.000250,A01AD,test_run_01
TMLE,0.002300,0.000900,0.000536,0.004064,0.048000,0.045700,0.049800,0.046200,0.046200,0.045200,0.000900,0.000250,A01AD,test_run_01
RD,0.002100,0.000750,0.000630,0.003570,0.005200,0.003100,,,,,,,A01AD,test_run_01
RR,1.677419,0.160000,1.368333,2.056829,0.005200,0.003100,,,,,,,A01AD,test_run_01
IPW,0.002200,0.000900,0.000436,0.003964,0.005800,0.003600,0.007600,0.004000,0.004100,0.003100,0.000900,0.000250,A01AD,test_run_02
TMLE,0.002500,0.000950,0.000638,0.004362,0.049000,0.046500,0.050900,0.047100,0.047000,0.046000,0.000950,0.000250,A01AD,test_run_02
RD,0.002300,0.000800,0.000732,0.003868,0.005500,0.003200,,,,,,,A01AD,test_run_02
RR,1.718750,0.170000,1.390118,2.123981,0.005500,0.003200,,,,,,,A01AD,test_run_02
IPW,0.022000,0.003200,0.015728,0.028272,0.075000,0.053000,0.081000,0.069000,0.055000,0.051000,0.003000,0.001000,A02AA,test_run_01
TMLE,0.020500,0.003300,0.014032,0.026968,0.185000,0.164500,0.191500,0.178500,0.165500,0.163500,0.003250,0.000500,A02AA,test_run_01
RD,0.024000,0.002900,0.018316,0.029684,0.074000,0.050000,,,,,,,A02AA,test_run_01
RR,1.480000,0.048000,1.385863,1.579908,0.074000,0.050000,,,,,,,A02AA,test_run_01
IPW,0.023000,0.003400,0.016336,0.029664,0.078000,0.055000,0.084500,0.071500,0.057000,0.053000,0.003250,0.001000,A02AA,test_run_02
TMLE,0.021500,0.003500,0.014640,0.028360,0.188000,0.166500,0.194800,0.181200,0.167500,0.165500,0.003400,0.000500,A02AA,test_run_02
RD,0.025000,0.003000,0.019120,0.030880,0.076000,0.051000,,,,,,,A02AA,test_run_02
RR,1.490196,0.050000,1.394155,1.592214,0.076000,0.051000,,,,,,,A02AA,test_run_02
IPW,0.140000,0.005500,0.129220,0.150780,0.380000,0.240000,0.390500,0.369500,0.242500,0.237500,0.005250,0.001250,A02BC,test_run_01
TMLE,0.138000,0.005800,0.126632,0.149368,0.365000,0.227000,0.376200,0.353800,0.228500,0.225500,0.005600,0.000750,A02BC,test_run_01
RD,0.152000,0.005200,0.141808,0.162192,0.378000,0.226000,,,,,,,A02BC,test_run_01
RR,1.672566,0.020000,1.632898,1.713166,0.378000,0.226000,,,,,,,A02BC,test_run_01
IPW,0.142000,0.005700,0.130828,0.153172,0.385000,0.243000,0.395800,0.374200,0.245500,0.240500,0.005400,0.001250,A02BC,test_run_02
TMLE,0.140000,0.006000,0.128240,0.151760,0.368000,0.228000,0.379600,0.356400,0.229500,0.226500,0.005800,0.000750,A02BC,test_run_02
RD,0.154000,0.005400,0.143416,0.164584,0.381000,0.227000,,,,,,,A02BC,test_run_02
RR,1.678855,0.021000,1.637226,1.721453,0.381000,0.227000,,,,,,,A02BC,test_run_02
IPW,-0.001200,0.001800,-0.004728,0.002328,0.012000,0.013200,0.015500,0.008500,0.015000,0.011400,0.001750,0.000900,B01AA,test_run_01
TMLE,-0.001500,0.001900,-0.005224,0.002224,0.095000,0.096500,0.098700,0.091300,0.098300,0.094700,0.001850,0.000900,B01AA,test_run_01
RD,-0.001000,0.001650,-0.004234,0.002234,0.012500,0.013500,,,,,,,B01AA,test_run_01
RR,0.925926,0.105000,0.724008,1.184792,0.012500,0.013500,,,,,,,B01AA,test_run_01
IPW,-0.001000,0.001900,-0.004724,0.002724,0.013000,0.014000,0.016600,0.009400,0.015900,0.012100,0.001800,0.000950,B01AA,test_run_02
TMLE,-0.001300,0.002000,-0.005220,0.002620,0.096000,0.097300,0.099900,0.092100,0.099200,0.095400,0.001950,0.000950,B01AA,test_run_02
RD,-0.000800,0.001700,-0.004132,0.002532,0.013200,0.014000,,,,,,,B01AA,test_run_02
RR,0.942857,0.110000,0.731266,1.215486,0.013200,0.014000,,,,,,,B01AA,test_run_02
IPW,0.005000,0.001500,0.002060,0.007940,0.022000,0.017000,0.025500,0.018500,0.018500,0.015500,0.001750,0.000750,B01AC,test_run_01
TMLE,0.004500,0.001600,0.001364,0.007636,0.125000,0.120500,0.128100,0.121900,0.122100,0.118900,0.001550,0.000800,B01AC,test_run_01
RD,0.005500,0.001400,0.002756,0.008244,0.021500,0.016000,,,,,,,B01AC,test_run_01
RR,1.343750,0.070000,1.207089,1.493775,0.021500,0.016000,,,,,,,B01AC,test_run_01
IPW,0.005500,0.001600,0.002364,0.008636,0.023000,0.017500,0.026700,0.019300,0.019000,0.016000,0.001850,0.000750,B01AC,test_run_02
TMLE,0.005000,0.001700,0.001668,0.008332,0.127000,0.122000,0.130300,0.123700,0.123600,0.120400,0.001650,0.000800,B01AC,test_run_02
RD,0.006000,0.001500,0.003060,0.008940,0.022500,0.016500,,,,,,,B01AC,test_run_02
RR,1.363636,0.073000,1.220929,1.522378,0.022500,0.016500,,,,,,,B01AC,test_run_02
IPW,0.008000,0.002000,0.004080,0.011920,0.032000,0.024000,0.036000,0.028000,0.026000,0.022000,0.002000,0.001000,B02AB,test_run_01
TMLE,0.007500,0.002100,0.003384,0.011616,0.155000,0.147500,0.159100,0.150900,0.149500,0.145500,0.002050,0.001000,B02AB,test_run_01
RD,0.008500,0.001850,0.004874,0.012126,0.031500,0.023000,,,,,,,B02AB,test_run_01
RR,1.369565,0.063000,1.246996,1.502476,0.031500,0.023000,,,,,,,B02AB,test_run_01
IPW,0.008500,0.002100,0.004384,0.012616,0.033000,0.024500,0.037200,0.028800,0.026500,0.022500,0.002100,0.001000,B02AB,test_run_02
TMLE,0.008000,0.002200,0.003688,0.012312,0.157000,0.149000,0.161400,0.152600,0.151000,0.147000,0.002200,0.001000,B02AB,test_run_02
RD,0.009000,0.001900,0.005276,0.012724,0.032500,0.023500,,,,,,,B02AB,test_run_02
RR,1.382979,0.065000,1.256738,1.520487,0.032500,0.023500,,,,,,,B02AB,test_run_02

