status,No Outcome,Outcome,Total,outcome,run_id
Untreated,48500,1500,50000,A01AA,test_run_01
Treated,4825,175,5000,A01AA,test_run_01
Total,53325,1675,55000,A01AA,test_run_01
Untreated,48550,1450,50000,A01AA,test_run_02
Treated,4820,180,5000,A01AA,test_run_02
Total,53370,1630,55000,A01AA,test_run_02
Untreated,49400,600,50000,A01AB,test_run_01
Treated,4940,60,5000,A01AB,test_run_01
Total,54340,660,55000,A01AB,test_run_01
Untreated,49380,620,50000,A01AB,test_run_02
Treated,4930,70,5000,A01AB,test_run_02
Total,54310,690,55000,A01AB,test_run_02
Untreated,49825,175,50000,A01AD,test_run_01
Treated,4983,17,5000,A01AD,test_run_01
Total,54808,192,55000,A01AD,test_run_01
Untreated,49810,190,50000,A01AD,test_run_02
Treated,4981,19,5000,A01AD,test_run_02
Total,54791,209,55000,A01AD,test_run_02
Untreated,47350,2650,50000,A02AA,test_run_01
Treated,4630,370,5000,A02AA,test_run_01
Total,51980,3020,55000,A02AA,test_run_02
Untreated,47250,2750,50000,A02AA,test_run_02
Treated,4610,390,5000,A02AA,test_run_02
Total,51860,3140,55000,A02AA,test_run_02
Untreated,38000,12000,50000,A02BC,test_run_01
Treated,3100,1900,5000,A02BC,test_run_01
Total,41100,13900,55000,A02BC,test_run_01
Untreated,37850,12150,50000,A02BC,test_run_02
Treated,3080,1920,5000,A02BC,test_run_02
Total,40930,14070,55000,A02BC,test_run_02
Untreated,49340,660,50000,B01AA,test_run_01
Treated,4935,65,5000,B01AA,test_run_01
Total,54275,725,55000,B01AA,test_run_01
Untreated,49300,700,50000,B01AA,test_run_02
Treated,4930,70,5000,B01AA,test_run_02
Total,54230,770,55000,B01AA,test_run_02
Untreated,49150,850,50000,B01AC,test_run_01
Treated,4910,90,5000,B01AC,test_run_01
Total,54060,940,55000,B01AC,test_run_01
Untreated,49125,875,50000,B01AC,test_run_02
Treated,4900,100,5000,B01AC,test_run_02
Total,54025,975,55000,B01AC,test_run_02
Untreated,48800,1200,50000,B02AB,test_run_01
Treated,4880,120,5000,B02AB,test_run_01
Total,53680,1320,55000,B02AB,test_run_01
Untreated,48775,1225,50000,B02AB,test_run_02
Treated,4875,125,5000,B02AB,test_run_02
Total,53650,1350,55000,B02AB,test_run_02

