
Code;Text
M;Drug substance classification ATC
MA;Digestive organs and metabolism
MA01;medicinal products for diseases of the oral cavity
MA01A;stomatology
MA01AA;anti-caries agents
MA01AA01;sodium fluoride
MA01AA02;sodium monofluorophosphate
MA01AA03;olaflur
MA01AA04;stannous fluoride
MA01AA30;anti-caries agents, combination preparations
MA01AA51;sodium fluoride, comb.
MA01AB;anti-infectives for local use in the oral cavity
MA01AB02;hydrogen peroxide
MA01AB03;chlorhexidine
MA01AB04;amphotericin
MA01AB05;polynoxylin
MA01AB06;domiphene
MA01AB07;oxyquinoline
MA01AB08;neomycin
MA01AB09;miconazole
MA01AB10;natamycin
MA01AB11;various anti-infectives for local use in the oral cavity
MA01AB12;hexetidine
MA01AB13;tetracycline
MA01AB14;benzoxonium chloride
MA01AB15;tibezonium iodide
MA01AB16;mepartrizine
MA01AB17;metronidazole
MA01AB18;clotrimazole
MA01AB19;sodium perborate
MA01AB21;chlortetracycline
MA01AB22;doxycycline
MA01AB23;minocycline
MA01AB24;octenidine
MA01AB25;oxytetracycline
MA01AB53;chlorhexidine and cetylpyridinium
MA01AC;corticosteroids for local use in the oral cavity
MA01AC01;triamcinolone
MA01AC02;dexamethasone
MA01AC03;hydrocortisone
MA01AC04;prednisolone
MA01AC54;prednisolone, combinations
MA01AD;other agents for local treatment of the oral cavity
MA01AD01;adrenaline
MA01AD02;benzydamine
MA01AD05;acetylsalicylic acid
MA01AD06;adrenaline
MA01AD07;amlexanox
MA01AD08;becaplermin
MA01AD11;various agents for local treatment in the oral cavity
MA02;drugs for acid-related disorders
MA02A;antacid
MA02AA;magnesium compounds
MA02AA01;magnesium carbonate
MA02AA02;magnesium oxide
MA02AA03;magnesium peroxide
MA02AA04;magnesium hydroxide
MA02AA05;magnesium silicate
MA02AA10;magnesium compounds, combination preparations
MA02AB;aluminum compounds
MA02AB01;aluminium oxide
MA02AB02;aluminum hydroxide
MA02AB03;aluminum phosphate
MA02AB04;dihydroxyaluminum sodium carbonate
MA02AB05;aluminum acetoacetate
MA02AB06;alloglutamol
MA02AB07;aluminum glycinate
MA02AB10;aluminium compounds, combination preparations
MA02AC;calcium compounds
MA02AC01;calcium carbonate
MA02AC02;calcium silicate
MA02AC10;calcium compounds, combination preparations
MA02AD;combinations and complexes of aluminum, calcium, and magnesium compounds
MA02AD01;combinations of common salts
MA02AD02;magaldrate
MA02AD03;almagat
MA02AD04;hydrotalcite
MA02AD05;almasilat
MA02AF;antacids and antiflatulents
MA02AF01;magaldrate and flatulence agents
MA02AF02;common salt combinations and flatulence remedies
MA02AG;antacids and antispasmodics
MA02AH;antacids and sodium bicarbonate
MA02AX;antacids, other combinations
MA02B;drugs for stomach ulcers and gastro-esophageal reflux (GORD)
MA02BA;H2-receptor antagonists
MA02BA01;cimetidine
MA02BA02;ranitidine
MA02BA03;famotidine
MA02BA04;nizatidine
MA02BA05;niperotidine
MA02BA06;roxatidine
MA02BA07;ranitidine bismuth citrate
MA02BA08;lafutidine
MA02BA51;cimetidine, combination preparations
MA02BA53;famotidine, comb.
MA02BB;prostaglandins
MA02BB01;misoprostol
MA02BB02;enprostil
MA02BC;proton pump inhibitors
MA02BC01;omeprazole
MA02BC02;pantoprazole
MA02BC03;lansoprazole
MA02BC04;rabeprazole
MA02BC05;esomeprazole
MA02BC06;dexlansoprazole
MA02BC07;dexrabeprazole
MA02BC08;vonoprazan
MA02BC09;tegoprazan
MA02BC10;fexuprazan
MA02BC11;ilaprazole
MA02BC51;omeprazole, combinations
MA02BC53;lansoprazole, combinations
MA02BC54;rabeprazole, combinations
MA02BD;comb. for the control of heliobacter pylori
MA02BD01;omeprazole, amoxicillin and metronidazole
MA02BD02;lansoprazole, tetracycline and metronidazole
MA02BD03;lansoprazole, amoxicillin and metronidazole
MA02BD04;pantoprazole, amoxicillin and clarithromycin
MA02BD05;omeprazole, amoxicillin and clarithromycin
MA02BD06;esomeprazole, amoxicillin and clarithromycin
MA02BD07;lansoprazole, amoxicillin and clarithromycin
MA02BD08;bismuth subcitrate, tetracycline and metronidazole
MA02BD09;lansoprazole, clarithromycin and tinidazole
MA02BD10;lansoprazole, amoxicillin and levofloxacin
MA02BD11;pantoprazole, amoxicillin, clarithromycin and metronidazole
MA02BD12;rabeprazole, amoxicillin and clarithromycin
MA02BD13;rabeprazole, amoxicillin and metronidazole
MA02BD14;vonoprazan, amoxicillin and clarithromycin
MA02BD15;vonoprazan, amoxicillin and metronidazole
MA02BD16;omeprazole, amoxicillin and rifabutin
MA02BD17;vonoprazan and amoxicillin
MA02BX;other antiulcer and gastroesophageal reflux (GERD) drugs
MA02BX01;carbenoxolon
MA02BX02;sucralfate
MA02BX03;pirenzepine
MA02BX04;methiosulfonium chloride
MA02BX05;bismuth subcitrate
MA02BX06;proglumide
MA02BX07;gefarnat
MA02BX08;sulglycotide
MA02BX09;acetoxolone
MA02BX10;zolimidine
MA02BX11;troxipide
MA02BX12;bismuth subnitrate
MA02BX13;alginic acid
MA02BX14;rebamipide
MA02BX15;teprenone
MA02BX16;irsogladin
MA02BX51;carbenoxolone, combinations excl. psycholeptics
MA02BX71;carbenoxolone, combinations with psycholeptics
MA02BX77;gefarnat, combinations with psycholeptics
MA02X;other agents for acid-related disorders
MA03;drugs for functional gastrointestinal disorders
MA03A;drugs for functional gastrointestinal disorders
MA03AA;synth. anticholine esters with tertiary amino groups
MA03AA01;oxyphencyclimine
MA03AA03;camylofin
MA03AA04;mebeverine
MA03AA05;trimebutin
MA03AA06;rociverin
MA03AA07;dicycloverine
MA03AA08;dihexyverine
MA03AA09;difemerin
MA03AA30;piperidolate
MA03AB;synthetic anticholinergics, quaternary ammonium compounds
MA03AB01;benzilone
MA03AB02;glycopyrrone
MA03AB03;oxyphenone
MA03AB04;penthienate
MA03AB05;propantheline
MA03AB06;otilonium bromide
MA03AB07;methantheline
MA03AB08;tridihexethyl
MA03AB09;isopropamide
MA03AB10;hexocyclium
MA03AB11;poldin
MA03AB12;mepenzolate
MA03AB13;bevonium
MA03AB14;pipenzolate
MA03AB15;diphemanil
MA03AB16;(2-benzhydryloxyethyl)diethylmethylammonium iodide
MA03AB17;thiemonium iodide
MA03AB18;prifinium bromide
MA03AB19;timepidium bromide
MA03AB21;fenpiverin
MA03AB53;oxyphenone, combination preparations
MA03AC;synthetic antispasmodics, amides with tertiary amines
MA03AC02;dimethylaminopropionylphenothiazine
MA03AC04;nicofetamide
MA03AC05;tiropramide
MA03AD;papaverine and derivatives
MA03AD01;papaverine
MA03AD02;drotaverine
MA03AD30;moxaverine
MA03AE;serotonin receptor antagonists
MA03AE01;alosetron
MA03AE03;cilansetron
MA03AX;other agents for functional gastrointestinal disorders
MA03AX01;fenpipran
MA03AX02;diisopromine
MA03AX03;chlorobenzoxamine
MA03AX04;pinaverine
MA03AX05;fenoverine
MA03AX06;idanpramine
MA03AX07;proxazole
MA03AX08;alverin
MA03AX09;three-button
MA03AX10;isometheptene
MA03AX11;caroverine
MA03AX12;phloroglucinol
MA03AX13;silicones
MA03AX14;valethamat
MA03AX15;peppermint oil
MA03AX30;trimethyldiphenylpropylamine
MA03AX58;alverin, combinations
MA03B;belladonna and derivatives, uncompounded preparations
MA03BA;belladonna alkaloids, tertiary amines
MA03BA01;atropine
MA03BA03;hyoscyamine
MA03BA04;belladonna, total alkaloids
MA03BB;belladonna alkaloids, semisynthetic quaternary ammonium compounds
MA03BB01;butylscopolamine
MA03BB02;methylatropine
MA03BB03;methylscopolamine
MA03BB04;fentonium
MA03BB05;cimetropium bromide
MA03BB06;homatropin methyl bromide
MA03C;antispasmodics in combination with psycholeptics
MA03CA;synthetic anticholinergics in combination with psycholeptics
MA03CA01;isopropamide and psycholeptics
MA03CA02;clidine and psycholeptics
MA03CA03;oxyphencyclimine and psycholeptics
MA03CA04;otilonium bromide and psycholeptics
MA03CA05;glycopyrrone and psycholeptics
MA03CA06;bevonium and psycholeptics
MA03CA07;ambuton and psycholeptics
MA03CA08;diphemanil and psycholeptics
MA03CA09;pipenzolate and psycholeptics
MA03CA30;emeprone and psycholeptics
MA03CA34;propantheline and psycholeptics
MA03CB;belladonna and derivatives in combination with psycholeptics
MA03CB01;methylscopolamine and psycholeptics
MA03CB02;belladonna, total alkaloids and psycholeptics
MA03CB03;atropine and psycholeptics
MA03CB04;homatropin methyl bromide and psycholeptics
MA03CB31;hyoscyamine and psycholeptics
MA03CC;other antispasmodics in combination with psycholeptics
MA03D;antispasmodics in combination with analgesics
MA03DA;synthetic anticholinergics in combination with analgesics
MA03DA01;tropenzilon and analgesics
MA03DA02;pitofenone and analgesics
MA03DA03;bevonium and analgesics
MA03DA04;ciclonium and analgesics
MA03DA05;camylofin and analgesics
MA03DA06;trospium and analgesics
MA03DA07;thiammonium iodide and analgesics
MA03DB;belladonna and derivatives in combination with analgesics
MA03DB04;butylscopolamine and analgesics
MA03DC;other antispasmodics in combination with analgesics
MA03E;antispasmodics and anticholinergics in combination with other substances
MA03EA;antispasmodics, psycholeptics, analgesics in combination
MA03ED;antispasmodics in combination with other substances
MA03F;propulsives
MA03FA;propulsives
MA03FA01;metoclopramide
MA03FA02;cisapride
MA03FA03;domperidone
MA03FA04;bromopride
MA03FA05;alizapride
MA03FA06;clebopride
MA03FA07;itopride
MA03FA08;cinitapride
MA03FA09;mosapride
MA03FA10;acotiamide
MA04;antiemetics and antinausea agents
MA04A;antiemetics and antinausea agents
MA04AA;serotonin (5HT3) antagonists
MA04AA01;ondansetron
MA04AA02;granisetron
MA04AA03;tropical
MA04AA04;dolasetron
MA04AA05;palonosetron
MA04AA55;palonosetron, combinations
MA04AD;other antiemetics
MA04AD01;scopolamine
MA04AD02;cerium oxalate
MA04AD04;chlorobutanol
MA04AD05;metopimazine
MA04AD10;dronabinol
MA04AD11;nabilone
MA04AD12;aprepitant
MA04AD13;casopitant
MA04AD14;role-playing
MA04AD51;scopolamine, combination preparations
MA04AD54;chlorobutanol, combination preparations
MA05;biliary and liver therapy
MA05A;biliary therapy
MA05AA;bile acids and derivatives
MA05AA01;chenodeoxycholic acid
MA05AA02;ursodeoxycholic acid
MA05AA03;cholic acid
MA05AA04;obeticholic acid
MA05AA05;ursodoxycoltaurine
MA05AA06;norucholic acid
MA05AB;biliary tract preparations
MA05AB01;nicotinylmethylamide
MA05AX;other bile preparations
MA05AX01;piprozoline
MA05AX02;hymecromon
MA05AX03;cyclobutyrol
MA05AX04;maralixibat chloride
MA05AX05;odevixibat
MA05AX06;elafibranor
MA05AX07;seladelpar
MA05AX08;linerixibat
MA05B;liver and lipotropics
MA05BA;liver therapy
MA05BA01;arginine glutamate
MA05BA03;silymarin
MA05BA04;citiolon
MA05BA05;epomediol
MA05BA06;ornithine oxoglurate
MA05BA07;thidiacicarginine
MA05BA08;glycyrrhizic acid
MA05BA09;metadoxin
MA05BA10;phospholipids
MA05BA11;resmetirom
MA05C;bile preparations and lipotropics in combination
MA06;anti-constipation
MA06A;anti-constipation agents
MA06AA;softeners
MA06AA01;paraffin oil
MA06AA02;docusate sodium
MA06AA51;paraffin oil, combination preparations
MA06AB;contact laxatives
MA06AB01;oxyphenisatin
MA06AB02;bisacodyl
MA06AB03;dantron
MA06AB04;phenolphthalein
MA06AB05;castor oil
MA06AB06;senna glycosides
MA06AB07;cascara sagrada
MA06AB08;sodium picosulfate
MA06AB09;bisoxatin
MA06AB20;contact laxative in combination
MA06AB30;contact laxative in combination with belladonna alkaloids
MA06AB52;bisacodyl, combination preparations
MA06AB53;dantron, combination preparations
MA06AB56;senna glycosides, combination preparations
MA06AB57;cascara sagrada, combination preparations
MA06AB58;sodium picosulfate, combination preparations
MA06AC;bulking laxative
MA06AC01;ispaghula (flea seed)
MA06AC02;ethulose
MA06AC03;sterculia
MA06AC05;flaxseed
MA06AC06;methylcellulose
MA06AC07;triticum (wheat fiber)
MA06AC08;polycarbophil calcium
MA06AC51;ispaghula, combination preparations
MA06AC53;sterculia, combination preparations
MA06AC55;flaxseed, combination preparations
MA06AD;osmotic laxative
MA06AD01;magnesium carbonate
MA06AD02;magnesium oxide
MA06AD03;magnesium peroxide
MA06AD04;magnesium sulfate
MA06AD10;mineral salts in combination
MA06AD11;lactulose
MA06AD12;lactitol
MA06AD13;sodium sulfate
MA06AD14;pentaerythrityl tetranitrate
MA06AD15;macrogol
MA06AD16;mannitol
MA06AD17;sodium phosphate
MA06AD18;sorbitol
MA06AD19;magnesium citrate
MA06AD21;sodium tartrate
MA06AD61;lactulose, combination preparations
MA06AD65;macrogol, combinations
MA06AG;enema preparations
MA06AG01;sodium phosphate
MA06AG02;bisacodyl
MA06AG03;dantron, incl. combination preparations
MA06AG04;glycerol
MA06AG06;oil
MA06AG07;sorbitol
MA06AG10;docusate sodium, incl. combination preparations
MA06AG11;sodium lauryl sulfoacetate, incl. combination preparations
MA06AG20;enemas, combination preparations
MA06AH;peripheral opioid receptor antagonists
MA06AH01;methylnaltrexone bromide
MA06AH02;alvimopan
MA06AH03;naloxegol
MA06AH04;naloxone
MA06AH05;naldemedine
MA06AX;other anti-constipation agents
MA06AX01;glycerol
MA06AX02;carbon dioxide-generating preparations
MA06AX03;lubiprostone
MA06AX04;linaclotide
MA06AX05;prucalopride
MA06AX06;tegas root
MA06AX07;plecanatide
MA06AX08;tenapanor
